source,date,count
bloomberg,2006-10-20,1
bloomberg,2006-10-21,1
bloomberg,2006-10-23,2
bloomberg,2006-10-24,4
bloomberg,2006-10-25,2
bloomberg,2006-10-27,4
bloomberg,2006-10-30,3
bloomberg,2006-11-01,3
bloomberg,2006-11-02,2
bloomberg,2006-11-03,3
bloomberg,2006-11-07,4
bloomberg,2006-11-08,4
bloomberg,2006-11-09,3
bloomberg,2006-11-10,3
bloomberg,2006-11-13,4
bloomberg,2006-11-14,2
bloomberg,2006-11-15,1
bloomberg,2006-11-16,2
bloomberg,2006-11-17,1
bloomberg,2006-11-20,3
bloomberg,2006-11-21,3
bloomberg,2006-11-22,2
bloomberg,2006-11-23,2
bloomberg,2006-11-24,1
bloomberg,2006-11-27,1
bloomberg,2006-11-29,2
bloomberg,2006-11-30,1
bloomberg,2006-12-01,2
bloomberg,2006-12-04,1
bloomberg,2006-12-05,1
bloomberg,2006-12-06,1
bloomberg,2006-12-07,1
bloomberg,2006-12-08,1
bloomberg,2006-12-09,1
bloomberg,2006-12-11,3
bloomberg,2006-12-12,1
bloomberg,2006-12-13,1
bloomberg,2006-12-14,1
bloomberg,2006-12-15,2
bloomberg,2006-12-18,2
bloomberg,2006-12-19,5
bloomberg,2006-12-20,2
bloomberg,2006-12-21,1
bloomberg,2006-12-25,1
bloomberg,2006-12-26,1
bloomberg,2006-12-28,1
bloomberg,2007-01-03,1
bloomberg,2007-01-04,2
bloomberg,2007-01-07,1
bloomberg,2007-01-08,2
bloomberg,2007-01-09,4
bloomberg,2007-01-10,2
bloomberg,2007-01-11,2
bloomberg,2007-01-12,1
bloomberg,2007-01-16,1
bloomberg,2007-01-18,3
bloomberg,2007-01-19,1
bloomberg,2007-01-22,3
bloomberg,2007-01-23,2
bloomberg,2007-01-24,4
bloomberg,2007-01-25,1
bloomberg,2007-01-26,2
bloomberg,2007-01-29,1
bloomberg,2007-01-30,4
bloomberg,2007-01-31,6
bloomberg,2007-02-01,2
bloomberg,2007-02-02,2
bloomberg,2007-02-03,1
bloomberg,2007-02-04,1
bloomberg,2007-02-05,3
bloomberg,2007-02-06,2
bloomberg,2007-02-07,3
bloomberg,2007-02-08,5
bloomberg,2007-02-09,1
bloomberg,2007-02-12,5
